id,director,writer
tt0011801,Null,Null
tt0013274,nm0412842,Null
tt0050396,Null,Null
tt0056840,nm0626561,nm0626561
tt0060361,Null,Null
tt0060366,Null,Null
tt0062336,nm0765384,nm0749914
tt0065047,Null,Null
tt0069049,Null,nm0462648
tt0070596,nm0749914,nm0749914
tt0077684,nm0127908,Null
tt0083283,Null,Null
tt0088907,nm0033244,nm0033244
tt0096235,Null,nm0664416
tt0097767,nm0560510,Null
tt0100275,nm0765384,nm0749914
tt0104988,Null,Null
tt0108270,Null,Null
tt0109128,Null,Null
tt0109766,Null,Null
tt0110152,Null,Null
tt0111414,nm0398271,nm0398271
tt0111596,Null,Null
tt0112502,Null,Null
tt0120589,Null,Null
tt0122511,Null,nm0404765
tt0123063,Null,Null
tt0124961,Null,Null
tt0129960,Null,Null
tt0130071,Null,Null
tt0136704,Null,Null
tt0137204,nm0365480,nm0365480
tt0137818,nm0638396,nm0309225
tt0139613,nm0023406,Null
tt0144449,Null,Null
tt0147076,Null,Null
tt0158388,Null,Null
tt0158429,Null,Null
tt0159369,nm0611850,nm0611850
tt0164115,Null,nm0418748
tt0165450,Null,Null
tt0165933,nm0006979,nm0006979
tt0166938,nm0894975,Null
tt0170057,Null,Null
tt0170093,Null,Null
tt0170119,Null,Null
tt0170467,Null,Null
tt0170655,Null,Null
tt0171258,Null,Null
tt0172182,nm0003166,nm0003166
tt0172372,Null,Null
tt0172803,Null,Null
tt0172841,Null,Null
tt0173207,Null,Null
tt0176694,Null,Null
tt0177825,Null,Null
tt0179619,Null,Null
tt0182285,nm0130403,nm0130403
tt0185478,nm0773675,Null
tt0187902,Null,Null
tt0188360,Null,Null
tt0188976,Null,Null
tt0192528,nm0667001,nm0667001
tt0194207,nm0056298,Null
tt0195838,Null,Null
tt0195933,Null,Null
tt0195957,Null,Null
tt0199217,Null,Null
tt0199602,nm0953395,nm0953395
tt0201206,Null,Null
tt0206169,Null,Null
tt0206632,Null,Null
tt0207877,nm0797352,Null
tt0207968,Null,Null
tt0209969,Null,Null
tt0210470,nm0682408,Null
tt0211266,nm0430867,Null
tt0214297,Null,Null
tt0221503,Null,nm0896021
tt0224204,nm0687441,Null
tt0228802,nm0847300,Null
tt0228933,nm0454468,nm0454468
tt0230622,Null,Null
tt0230873,Null,Null
tt0231955,Null,Null
tt0244675,nm0101291,Null
tt0247643,nm0881867,nm0679160
tt0249516,Null,nm0841854
tt0250219,nm0596034,Null
tt0252316,Null,Null
tt0254173,Null,Null
tt0255820,nm0133626,nm0133626
tt0256732,Null,Null
tt0260293,Null,Null
tt0261660,nm0080403,Null
tt0262463,Null,Null
tt0269768,nm0205108,nm0205108
tt0271577,nm0212162,Null
tt0272997,Null,Null
tt0275126,Null,nm0224158
tt0275392,nm0039183,nm0039183
tt0277124,Null,Null
tt0278307,nm0842078,Null
tt0279481,Null,Null
tt0279829,Null,Null
tt0280237,Null,Null
tt0280468,nm0154739,Null
tt0282252,nm0971632,nm0971632
tt0283440,nm0905839,nm0501350
tt0285252,nm0899854,nm0899854
tt0286885,Null,Null
tt0293069,Null,nm0059172
tt0293429,Null,nm0095460
tt0293513,nm0711877,nm0711877
tt0295481,Null,Null
tt0296388,Null,Null
tt0297400,Null,Null
tt0298637,Null,Null
tt0302617,nm0430384,Null
tt0303570,Null,Null
tt0304681,Null,Null
tt0305811,Null,Null
tt0306058,nm0132363,nm0132363
tt0306104,Null,Null
tt0307183,Null,Null
tt0307721,Null,Null
tt0308078,Null,Null
tt0309228,Null,Null
tt0311448,Null,Null
tt0313087,Null,Null
tt0315642,Null,Null
tt0319595,nm1001945,nm1001945
tt0322270,nm0626782,Null
tt0323775,Null,Null
tt0323808,nm0362736,nm0362736
tt0326635,nm0394304,nm0394304
tt0328810,Null,Null
tt0329539,nm0278780,nm0512694
tt0330987,Null,Null
tt0331314,Null,Null
tt0335630,Null,Null
tt0337692,Null,nm0449616
tt0337926,nm0285071,nm0285071
tt0338258,Null,Null
tt0339736,Null,Null
tt0339917,nm0955622,nm0955622
tt0343295,Null,Null
tt0344644,Null,Null
tt0344858,Null,Null
tt0346045,nm0021233,nm0021233
tt0346102,Null,Null
tt0346172,nm0708001,Null
tt0347992,nm0955351,Null
tt0353564,Null,Null
tt0354331,Null,Null
tt0355131,Null,Null
tt0357159,Null,Null
tt0359111,Null,Null
tt0359113,Null,Null
tt0359114,Null,Null
tt0359950,nm0001774,nm0175726
tt0360556,nm1023919,nm1023919
tt0361130,Null,Null
tt0363582,Null,Null
tt0364201,Null,Null
tt0365545,Null,Null
tt0365907,Null,nm0088747
tt0368133,nm0698464,nm0698464
tt0369168,Null,Null
tt0369610,Null,nm0415425
tt0370080,nm0717526,nm0717526
tt0372538,nm0460285,nm0582147
tt0376136,Null,nm0860219
tt0376441,Null,Null
tt0376479,Null,nm0744980
tt0377981,nm0038432,nm0819522
tt0379190,Null,Null
tt0380649,Null,Null
tt0380870,Null,Null
tt0383010,Null,nm0148808
tt0383158,Null,Null
tt0384013,Null,nm0185309
tt0385887,Null,nm0504672
tt0387112,Null,Null
tt0389717,nm0787696,Null
tt0392988,Null,Null
tt0396926,Null,Null
tt0397000,Null,Null
tt0397172,Null,Null
tt0399402,Null,Null
tt0400059,nm10151935,Null
tt0400320,Null,Null
tt0401729,Null,nm0028764
tt0403935,Null,Null
tt0404771,Null,Null
tt0404978,Null,nm0140987
tt0405534,Null,Null
tt0406282,Null,Null
tt0406492,Null,Null
tt0407194,Null,Null
tt0409379,nm0771613,nm0771613
tt0409847,Null,nm0003321
tt0410326,Null,Null
tt0419681,Null,nm0213075
tt0420097,nm0815761,nm0815761
tt0420293,Null,nm0848003
tt0422842,Null,Null
tt0423455,Null,nm0193009
tt0424859,nm0817974,nm0817974
tt0425118,Null,Null
tt0425785,nm0733608,nm0733608
tt0426522,Null,Null
tt0426566,Null,nm0575586
tt0427543,nm0853374,nm0853374
tt0429087,nm0620576,Null
tt0429350,Null,Null
tt0430524,nm0342041,Null
tt0431021,nm0097079,nm0925482
tt0431170,Null,Null
tt0431830,Null,Null
tt0432958,Null,Null
tt0432968,Null,Null
tt0433035,Null,nm0309691
tt0433397,nm0647487,nm0647487
tt0433533,Null,Null
tt0435095,Null,Null
tt0435651,nm0637518,nm0004332
tt0436782,nm0074206,Null
tt0437086,Null,nm0436164
tt0438755,Null,Null
tt0439572,Null,nm0408639
tt0439724,Null,Null
tt0441506,Null,Null
tt0441881,nm0826541,nm0064181
tt0443272,Null,nm0329447
tt0443438,nm0132646,nm0132646
tt0443465,nm0262635,Null
tt0443533,Null,Null
tt0446672,Null,Null
tt0446792,Null,Null
tt0448012,Null,Null
tt0448022,Null,nm0870013
tt0448115,Null,nm0501359
tt0448694,Null,nm0528244
tt0449571,Null,Null
tt0451154,nm0367822,nm0367822
tt0451201,Null,Null
tt0451272,Null,Null
tt0451279,nm0420941,nm0374302
tt0452183,Null,Null
tt0452664,Null,Null
tt0453562,nm0001338,nm0001338
tt0454518,nm0482518,Null
tt0454876,nm0000487,Null
tt0455323,Null,Null
tt0455944,nm0298807,nm0921013
tt0458291,Null,Null
tt0458339,nm0002653,nm0800209
tt0458413,Null,Null
tt0458481,nm0588340,nm0588340
tt0459748,nm0320192,nm0320192
tt0460528,Null,Null
tt0460809,Null,Null
tt0460890,Null,Null
tt0460957,Null,Null
tt0461165,Null,Null
tt0461336,nm0351021,nm0351021
tt0462036,Null,Null
tt0462335,Null,nm0050618
tt0462536,Null,Null
tt0463960,Null,Null
tt0464054,Null,Null
tt0464891,Null,Null
tt0465246,Null,Null
tt0465673,Null,Null
tt0466893,nm0518836,nm0518836
tt0469021,Null,nm0176869
tt0469152,Null,Null
tt0469158,Null,Null
tt0470752,nm0307497,nm0307497
tt0470936,Null,nm0238390
tt0471042,Null,Null
tt0472181,Null,nm0826425
tt0472399,Null,nm0921013
tt0473088,Null,Null
tt0473100,Null,Null
tt0473122,Null,Null
tt0475239,Null,Null
tt0475290,Null,Null
tt0475360,Null,Null
tt0475784,nm0003557,nm0634300
tt0477302,nm0197636,Null
tt0478304,nm0000517,nm0000517
tt0478970,nm0715636,nm0180428
tt0479105,Null,Null
tt0479700,Null,Null
tt0479807,Null,Null
tt0479997,Null,nm0776885
tt0480239,nm0424035,nm0642837
tt0480687,Null,nm0971919
tt0481470,Null,Null
tt0481499,nm0761498,nm0210320
tt0483740,nm0430554,nm0430554
tt0484037,nm0728165,nm0728165
tt0484828,Null,Null
tt0485061,Null,Null
tt0485521,Null,Null
tt0485535,Null,Null
tt0485746,Null,nm0904998
tt0485985,nm0376006,Null
tt0486622,Null,Null
tt0487001,Null,Null
tt0489431,Null,nm0564187
tt0489974,Null,nm0248404
tt0490075,Null,Null
tt0490215,Null,nm0168379
tt0490847,Null,nm0140486
tt0491152,Null,Null
tt0491175,Null,Null
tt0491203,nm0149491,nm0595738
tt0493076,Null,Null
tt0493405,nm1009277,nm0743121
tt0495024,nm0417641,nm0342290
tt0496375,Null,Null
tt0498351,Null,Null
tt0498381,Null,nm0521649
tt0499097,Null,Null
tt0499400,nm0342603,nm0073504
tt0511374,Null,Null
tt0526026,Null,Null
tt0547385,Null,Null
tt0547435,Null,Null
tt0547535,Null,Null
tt0547546,Null,Null
tt0547557,Null,Null
tt0547568,Null,Null
tt0547579,Null,Null
tt0547581,Null,Null
tt0547582,Null,Null
tt0547753,Null,Null
tt0547764,Null,Null
tt0547775,Null,Null
tt0547786,Null,Null
tt0547797,Null,Null
tt0547804,Null,Null
tt0547805,Null,Null
tt0548123,Null,Null
tt0548263,Null,Null
tt0548291,Null,Null
tt0548292,Null,Null
tt0548293,Null,Null
tt0548336,Null,Null
tt0548347,Null,Null
tt0548358,Null,Null
tt0548369,Null,Null
tt0548380,Null,Null
tt0548382,Null,Null
tt0548383,Null,Null
tt0548854,Null,Null
tt0548865,Null,Null
tt0548876,Null,Null
tt0548887,Null,Null
tt0548896,Null,Null
tt0548897,Null,Null
tt0548898,Null,Null
tt0548901,Null,Null
tt0564465,Null,Null
tt0576899,Null,Null
tt0588659,Null,Null
tt0609407,Null,Null
tt0640426,Null,Null
tt0640427,Null,Null
tt0640428,Null,Null
tt0640429,Null,Null
tt0640430,Null,Null
tt0640431,Null,Null
tt0640432,Null,Null
tt0640433,Null,Null
tt0640434,Null,Null
