id,name,birthyear,deathyear,profession,titleknownfor
nm0000138,Leonardo DiCaprio,1974,Null,producer,tt0993846
nm0000164,Anthony Hopkins,1937,Null,actor,tt0975645
nm0000169,Tommy Lee Jones,1946,Null,actor,tt0443272
nm0000190,Matthew McConaughey,1969,Null,actor,tt0816692
nm0000256,Jenny Agutter,1952,Null,actress,tt0848228
nm0000293,Sean Bean,1959,Null,actor,tt0944947
nm0000317,Clancy Brown,1959,Null,actor,tt0409847
nm0000332,Don Cheadle,1964,Null,actor,tt0790770
nm0000358,Daniel Day-Lewis,1957,Null,actor,tt0443272
nm0000376,Fran Drescher,1957,Null,writer,tt0837562
nm0000398,Sally Field,1946,Null,actress,tt0443272
nm0000411,Edward Furlong,1977,Null,actor,tt0990407
nm0000487,Ang Lee,1954,Null,director,tt0454876
nm0000517,Terrence Malick,1943,Null,producer,tt0478304
nm0000545,Helen Mirren,1945,Null,actress,tt0975645
nm0000571,Mary-Louise Parker,1964,Null,actress,tt0790736
nm0000657,David Strathairn,1949,Null,actor,tt0443272
nm0000680,Casper Van Dien,1968,Null,actor,tt0437086
nm0000703,BD Wong,1960,Null,actor,tt0369610
nm0000710,David Raksin,1912,2004,music_department,tt0458339
nm0000850,Clive Barker,1952,Null,writer,tt0887261
nm0000959,Powers Boothe,1948,2017,actor,tt0848228
nm0000983,Albert Brooks,1947,Null,actor,tt0780504
nm0001018,Keith Carradine,1949,Null,actor,tt0409847
nm0001039,David Charvet,1972,Null,actor,tt0496375
nm0001087,Lee Curreri,1961,Null,actor,tt0480239
nm0001097,Charles Dance,1946,Null,actor,tt0944947
nm0001162,Griffin Dunne,1955,Null,actor,tt0790636
nm0001194,Jeff Fahey,1952,Null,actor,tt0437086
nm0001282,Tony Goldwyn,1960,Null,actor,tt0472399
nm0001338,Brian Helgeland,Null,Null,writer,tt0453562
nm0001348,Werner Herzog,1942,Null,director,tt0790724
nm0001358,Hal Holbrook,1925,2021,actor,tt0443272
nm0001458,Cloris Leachman,1926,2021,actress,tt0481499
nm0001459,Denis Leary,1957,Null,writer,tt0948470
nm0001467,Jared Leto,1971,Null,actor,tt0790636
nm0001484,Jon Lovitz,1957,Null,actor,tt0837562
nm0001556,David Morse,1953,Null,actor,tt0816711
nm0001567,Connie Nielsen,1965,Null,actress,tt0451279
nm0001661,Rob Reiner,1947,Null,actor,tt0993846
nm0001671,Diana Rigg,1938,2020,actress,tt0944947
nm0001698,John Savage,Null,Null,actor,tt0783640
nm0001774,Ben Stiller,1965,Null,producer,tt0359950
nm0001881,Maryam d'Abo,1960,Null,actress,tt10022782
nm0001884,Max von Sydow,1929,2020,actor,tt0477302
nm0001914,Adam Ant,1954,Null,soundtrack,tt0478970
nm0001937,Marco Beltrami,1966,Null,composer,tt0816711
nm0001971,Ewen Bremner,1972,Null,actor,tt0451279
nm0001973,Christie Brinkley,1954,Null,actress,tt0810913
nm0002056,Christine Ebersole,1953,Null,actress,tt0993846
nm0002152,Jörg Widmer,Null,Null,camera_department,tt0478304
nm0002184,Vic Armstrong,1946,Null,stunts,tt0948470
nm0002217,Mychael Danna,1958,Null,composer,tt0454876
nm0002260,Melissa Moseley,Null,Null,camera_department,tt0401729
nm0002322,Richard Burns,Null,Null,actor,tt0975645
nm0002330,Larry Portmann,1965,Null,camera_department,tt0831387
nm0002331,Stephen Jones,Null,Null,producer,tt0451279
nm0002342,Richard Whelan,Null,Null,assistant_director,tt0458339
nm0002349,Kevin Inch,1953,Null,producer,tt0993840
nm0002357,JD Roberto,1969,Null,actor,tt0990407
nm0002361,Lynn Sable,Null,Null,sound_department,tt0458339
nm0002377,Stephen Semel,Null,Null,producer,tt0475784
nm0002398,Paris Themmen,1959,Null,actor,tt0491152
nm0002399,Alik Sakharov,1959,Null,cinematographer,tt0944947
nm0002418,Colin Brunton,1955,Null,producer,tt0808447
nm0002449,Martin Veselich,Null,Null,assistant_director,tt0329539
nm0002532,Nick O'Hagan,Null,Null,producer,tt0462335
nm0002535,Jasper Randall,1974,Null,music_department,tt0437086
nm0002624,Dan Pemberton,Null,Null,art_department,tt0993840
nm0002646,Sheila Haley,Null,Null,production_designer,tt0978764
nm0002653,Joe Johnston,1950,Null,director,tt0458339
nm0002708,Todd Busch,Null,Null,editorial_department,tt0437086
nm0002730,Fiona Winning,Null,Null,assistant_director,tt0831387
nm0002907,Alexander Skarsgård,1976,Null,actor,tt0918940
nm0002923,Ezekiel Norton,1970,Null,animation_department,tt0765446
nm0003004,Charlene Amateau,Null,Null,costume_department,tt0790724
nm0003041,John Johns,1963,Null,camera_department,tt0882977
nm0003069,James DuMont,1965,Null,actor,tt0369610
nm0003092,Michael Gaspar,Null,Null,special_effects,tt0993840
nm0003107,Bethan Mowat,Null,Null,assistant_director,tt0945513
nm0003140,David Klein,1972,Null,cinematographer,tt0873886
nm0003151,Melissa Kent,Null,Null,editor,tt0800325
nm0003166,Kevin Williams,Null,Null,writer,tt0172182
nm0003184,Pat Sito,Null,Null,animation_department,tt0831387
nm0003187,Ryan Chan,Null,Null,editorial_department,tt0805647
nm0003269,Buck Deachman,1962,Null,assistant_director,tt0945513
nm0003278,Holly Unterberger,Null,Null,script_department,tt0993846
nm0003321,Scott Mitchell Rosenberg,Null,Null,producer,tt0409847
nm0003324,Richard Foreman Jr.,Null,Null,camera_department,tt0780504
nm0003342,E. Bennett Walsh,Null,Null,producer,tt0293429
nm0003372,Chris Seager,1949,Null,cinematographer,tt0944947
nm0003471,Richard Wagner,1813,1883,soundtrack,tt0458339
nm0003513,Keith Manning,Null,Null,camera_department,tt0816711
nm0003519,Anna Pinnock,1961,Null,set_decorator,tt0454876
nm0003557,Richard J. Lewis,Null,Null,producer,tt0475784
nm0003582,Emily McGovern,Null,Null,assistant_director,tt0831387
nm0003589,Kathy Ringer,1971,Null,assistant_director,tt0337692
nm0003603,Kelly Zombor,1966,Null,sound_department,tt0831387
nm0003614,Carol Kupisz,Null,Null,art_department,tt0451279
nm0003635,Nicholas Renbeck,Null,Null,sound_department,tt0903657
nm0003665,Wolfgang Amadeus Mozart,1756,1791,soundtrack,tt0822847
nm0003666,Debbie Denise,Null,Null,visual_effects,tt0948470
nm0003683,Daniel Pagan,1968,Null,sound_department,tt0458339
nm0003690,Paul Ghirardani,Null,Null,art_director,tt0944947
nm0003704,Christopher Swartout,1963,Null,assistant_director,tt0477302
nm0003720,David Womark,Null,Null,producer,tt0454876
nm0003768,Efram Potelle,Null,Null,visual_effects,tt0451279
nm0003796,Ricky Edwards,Null,Null,composer,tt0881320
nm0003824,Karen M. Murphy,Null,Null,visual_effects,tt0970179
nm0003834,John Stoneham Jr.,Null,Null,stunts,tt0831387
nm0003840,Mark Boucher,1967,Null,art_department,tt0822847
nm0003929,Neill Gorton,1969,Null,make_up_department,tt0470752
nm0003932,Josy Capkun,Null,Null,assistant_director,tt0831387
nm0003969,Jane Walker,Null,Null,make_up_department,tt0944947
nm0003980,Andrea Carter,Null,Null,art_department,tt0770828
nm0004004,Ben Krout,Null,Null,camera_department,tt0948470
nm0004007,Raymond King,Null,Null,visual_effects,tt0822847
nm0004020,Steven Douglas Smith,Null,Null,cinematographer,tt0795461
nm0004052,Bob Shaw,Null,Null,production_designer,tt0993846
nm0004074,Igor Meglic,Null,Null,camera_department,tt0816711
nm0004075,Travis Price,1968,2015,visual_effects,tt0848537
nm0004127,David McKail,1938,2021,actor,tt0458339
nm0004157,TyRuben Ellingson,Null,Null,art_department,tt0822847
nm0004161,Mark Roper,1958,Null,assistant_director,tt0816462
nm0004178,Jeff Wolfe,Null,Null,stunts,tt0848228
nm0004184,Robert Dassanowsky,1956,2023,producer,tt0481470
