id,rating,votes
tt0013274,6.8,59
tt0050396,4.6,217
tt0056840,6.8,97
tt0060361,6.5,6
tt0062336,6.4,183
tt0065047,7.0,177
tt0069049,6.7,7874
tt0070596,7.6,41
tt0083283,6.7,67
tt0096235,5.7,66
tt0097767,7.0,6
tt0100275,6.5,354
tt0104988,7.8,9
tt0109128,7.2,29
tt0109766,6.4,40
tt0110152,6.7,78
tt0111596,8.2,66
tt0112502,4.7,42
tt0120589,7.2,211
tt0122511,6.2,61
tt0123063,6.9,148
tt0124961,8.8,13
tt0129960,7.2,7
tt0130071,7.4,15
tt0136704,6.9,133
tt0137204,8.5,292
tt0137818,4.8,35
tt0144449,8.2,8
tt0147076,6.8,26
tt0159369,7.3,99
tt0164115,6.1,34
tt0165450,5.4,152
tt0170057,7.8,9
tt0172182,6.7,117
tt0176694,8.0,1070
tt0177825,6.2,85
tt0182285,3.9,18
tt0185478,5.7,77
tt0188976,6.6,15
tt0192528,3.0,137
tt0194207,9.0,18
tt0195838,7.5,30
tt0195933,7.0,6
tt0195957,7.4,29
tt0199217,4.4,122
tt0199602,6.5,37
tt0201206,5.4,9
tt0206169,7.2,6
tt0206632,7.9,8
tt0207968,6.8,21
tt0209969,6.6,41
tt0210470,6.6,72
tt0211266,8.4,15
tt0214297,6.2,225
tt0221503,5.7,110
tt0224204,6.6,75
tt0228933,6.5,370
tt0230622,7.9,75
tt0230873,7.3,41
tt0231955,6.9,15
tt0244675,5.7,22
tt0247643,4.4,17
tt0249516,1.3,11668
tt0250219,5.2,17
tt0252316,9.0,73
tt0254173,7.2,20
tt0255820,6.2,210
tt0256732,5.3,611
tt0260293,6.9,71
tt0271577,5.8,6
tt0275126,9.0,28
tt0278307,6.4,17
tt0279829,6.2,17
tt0280237,2.8,95
tt0280468,5.6,8
tt0282252,6.1,19
tt0283440,7.3,17
tt0285252,3.6,281
tt0286885,6.5,190
tt0293069,6.3,1407
tt0293429,6.0,185940
tt0295481,6.2,170
tt0297400,7.0,104
tt0298637,3.3,9
tt0302617,8.0,120
tt0303570,6.9,24
tt0304681,8.3,11
tt0305811,8.2,147
tt0306058,5.7,26
tt0307183,7.2,6
tt0308078,6.1,16
tt0315642,7.1,19687
tt0322270,5.7,17
tt0323775,7.2,19
tt0323808,3.8,2883
tt0326635,4.1,216
tt0328810,7.9,98
tt0329539,5.6,127
tt0330987,7.2,18
tt0331314,4.8,433
tt0335630,7.0,9
tt0337692,6.0,42944
tt0337926,5.9,744
tt0338258,6.4,52
tt0339736,5.6,3809
tt0339917,5.9,16
tt0344644,3.2,10
tt0344858,7.8,48
tt0346045,6.6,54
tt0346102,4.8,29
tt0346172,2.9,186
tt0347992,4.8,25
tt0353564,7.4,27
tt0354331,2.0,10
tt0355131,8.4,16
tt0357159,5.6,92
tt0359111,5.9,115
tt0359113,5.9,122
tt0359114,6.1,123
tt0359950,7.3,332214
tt0360556,5.0,21959
tt0361130,5.4,9
tt0363582,5.4,1790
tt0364201,7.3,29
tt0365545,6.4,9707
tt0365907,6.5,125873
tt0368133,6.6,8
tt0369168,7.5,42
tt0369610,6.9,668492
tt0372538,6.5,97
tt0376136,6.1,107340
tt0376441,6.7,28
tt0376479,6.1,17802
tt0377981,5.9,58547
tt0380649,6.9,108
tt0380870,8.1,85
tt0383010,5.1,32754
tt0383158,7.5,73
tt0384013,7.5,3562
tt0385887,6.8,61561
tt0387112,8.0,14
tt0392988,5.0,39
tt0399402,2.9,246
tt0400059,4.8,39
tt0400320,7.1,31
tt0401729,6.6,282503
tt0403935,3.4,4170
tt0404771,6.0,9
tt0404978,5.7,25676
tt0406282,9.1,24
tt0406492,6.7,55
tt0407194,6.4,7
tt0409379,6.1,9410
tt0409847,6.0,229061
tt0419681,7.0,32
tt0420097,6.7,11
tt0420293,6.8,45432
tt0423455,6.3,10225
tt0424859,6.3,75
tt0425118,8.1,22373
tt0425785,6.3,10
tt0426566,5.9,17
tt0427543,6.2,3983
tt0429087,7.4,14296
tt0429350,6.0,9
tt0430524,8.6,16
tt0431021,5.9,62639
tt0431170,7.6,871
tt0431830,7.1,23
tt0432958,3.3,104
tt0432968,4.8,89
tt0433035,7.1,348305
tt0433397,4.5,263
tt0433533,4.8,263
tt0435651,6.4,123623
tt0436782,6.4,41
tt0437086,7.3,286491
tt0438755,8.1,42
tt0439572,6.7,184948
tt0439724,7.7,35
tt0441881,6.8,14709
tt0443272,7.3,268990
tt0443438,5.2,90
tt0443465,6.8,62293
tt0443533,6.3,1506
tt0446672,6.7,93
tt0446792,7.7,28
tt0448012,6.7,6
tt0448022,6.6,1377
tt0448115,7.0,375338
tt0448694,6.6,187399
tt0449571,5.7,103
tt0451154,3.2,239
tt0451201,2.6,247
tt0451279,7.4,687611
tt0452183,6.7,103
tt0452664,5.3,1053
tt0453562,7.5,100714
tt0454876,7.9,655535
tt0455323,6.4,17719
tt0455944,7.2,404677
tt0458291,7.9,63
tt0458339,6.9,880724
tt0458413,6.3,34375
tt0458481,6.5,168253
tt0459748,6.7,4220
tt0460528,7.9,48
tt0460809,8.2,25
tt0460890,6.3,16615
tt0460957,8.6,16
tt0461165,6.0,11
tt0461336,5.9,1978
tt0462036,5.6,28
tt0462335,5.5,44558
tt0463960,3.3,1898
tt0464054,5.5,397
tt0464891,6.6,109
tt0465673,4.7,21
tt0466893,6.5,18054
tt0469021,6.9,32709
tt0469152,5.6,151
tt0469158,7.1,39
tt0470752,7.7,572638
tt0470936,4.2,70
tt0471042,6.2,149312
tt0472181,5.4,94982
tt0472399,6.5,168368
tt0473088,8.9,34
tt0473100,5.4,123
tt0473122,6.5,64
tt0475239,8.0,28
tt0475290,6.3,140991
tt0475784,8.5,523478
tt0477302,6.9,104447
tt0478304,6.8,182197
tt0478970,7.3,707692
tt0479105,6.6,14
tt0479700,5.9,94
tt0479807,8.5,15
tt0479997,5.4,97088
tt0480239,5.6,14177
tt0480687,5.9,129667
tt0481470,5.7,28
tt0481499,7.2,227321
tt0483740,7.9,30
tt0484037,8.8,7
tt0484828,2.9,244
tt0485061,6.3,3182
tt0485521,6.3,403
tt0485535,5.3,9
tt0485746,8.7,17
tt0485985,5.9,36752
tt0486622,7.3,78
tt0487001,7.5,383
tt0489431,4.0,9
tt0489974,7.7,79938
tt0490075,4.9,388
tt0490215,7.2,119864
tt0490847,5.2,74
tt0491152,5.8,64440
tt0491175,5.8,46537
tt0491203,6.2,22503
